Title,Deductive Reasoning,Mathematical Reasoning,Memorization,Perceptual Speed,Problem Sensitivity,Selective Attention,Speed of Closure,Time Sharing,Written Comprehension
Budget Analysts,0.4302002992012578,2.2782314548005886,-0.6994134108466818,0.4352578077844902,0.24503299023568087,-0.0937653759191448,-0.9282145712117378,-0.4562336479984368,0.43207903656933705
"Bus Drivers, School",-1.0654270023058539,-1.0191957190557732,0.015901816739521613,0.12908308115887573,-0.7020668176704756,0.35440802804314736,0.5712234238165083,1.8459011415948625,-1.0961496591037152
"Bus Drivers, Transit and Intercity",-1.543724058117773,-1.1591011880270012,-0.45275298754109433,0.12908308115887573,-0.7020668176704756,1.1175965615333996,-0.44983856677834677,2.0750299869666335,-1.1907442826323085
Bus and Truck Mechanics and Diesel Engine Specialists,-0.1554984870268401,-0.8551686175032986,-0.702176007587704,0.4352578077844902,-0.36576330693327186,-0.0937653759191448,-0.6890265689950422,1.0324259509258522,-0.9415189811756414
Business Continuity Planners,1.687944408928897,0.3846832971727588,1.1724432095347606,-0.18850377033954677,2.188920452812249,-0.10255308972232711,0.7325625007834302,-0.2715205480371939,0.7431902428411552
Business Intelligence Analysts,1.0185815980175077,1.4665385184416528,-0.6994134108466818,-0.486824525094521,-0.4694458122198407,-0.5514588031682172,0.7325625007834302,-1.2158025493657807,1.0543014491129734
"Business Teachers, Postsecondary",0.9211507162780423,1.0249679124093594,1.342934894123583,-1.4002284360170236,-0.5731283175064096,-0.3134582209986992,0.40988434684958647,-1.353767941703245,1.3960192713531538
Butchers and Meat Cutters,-1.2476354045199183,-0.42097923104086593,-0.9460738341522693,-0.6300184873769087,-1.1046739612755518,-1.0091522304172895,-0.55702186965847,0.0640650839534615,-1.0868163229155607
"Buyers and Purchasing Agents, Farm Products",-0.1554984870268401,0.8443451276409872,0.015901816739521613,-1.0292258973762922,-0.6899439401292767,-0.5243633522750724,-0.55702186965847,0.25148976788360156,0.12214500783476384
Cabinetmakers and Bench Carpenters,-0.977966969243103,-0.1363439665821605,-0.9531776543434703,0.2790462125673403,-1.005138756200446,0.12592746916040956,0.1142840799591424,-0.749084716639281,-0.7841135276240618
"Camera Operators, Television, Video, and Film",-0.48843372862798334,-0.7345604545970674,-0.5662167822616644,0.4290093439758041,-0.36576330693327186,0.8597625975164226,-0.3031666786265999,1.2276599966864143,-0.8628162543998518
Camera and Photographic Equipment Repairers,-0.6858261643598863,-0.40771233312118077,0.015901816739521613,0.12908308115887573,-0.45631269488354237,-0.35007369517862524,-0.15649479047485304,-1.0717632089379883,-0.5212245583243759
"Captains, Mates, and Pilots of Water Vessels",0.06957950315258894,-0.19182372151902674,0.9581446337668664,1.8455013757170955,0.11542985862747027,1.5935977258724356,1.3824317898250176,2.0750299869666335,-0.16702024577842067
Cardiovascular Technologists and Technicians,0.30255319076129417,0.03853786963187496,0.46699439888078076,1.2965911869679427,1.019169111117628,0.6019286334994455,1.2199644675646208,1.0324259509258522,-0.16702024577842067
"Career/Technical Education Teachers, Middle School",0.5578474076412219,-0.12066490540435033,0.6350194792365467,0.4352578077844902,0.4942697817899326,0.35440802804314736,0.25617220806655566,1.0324259509258522,0.5329799683331701
"Career/Technical Education Teachers, Postsecondary",0.18345975453637947,-0.6153031031153857,1.1724432095347606,-1.4002284360170236,-0.25344059287282256,-0.3134582209986992,-1.036526119385336,0.0640650839534615,0.43207903656933705
"Career/Technical Education Teachers, Secondary School",0.9211507162780423,0.3846832971727588,1.5205303989036059,-0.03337697786696023,0.760122359447801,0.35440802804314736,1.3824317898250176,1.2276599966864143,0.7378088598137507
Cargo and Freight Agents,-0.9743228011988218,-0.26418861926276566,-0.702176007587704,-0.03337697786696023,-1.005138756200446,-0.0937653759191448,-0.9282145712117378,0.44807960562861276,0.2281750702965913
Carpenters,-0.15185431898255877,0.21100754258778562,0.015901816739521613,0.5914694030016401,0.240540081673263,0.12592746916040956,0.1142840799591424,0.44807960562861276,-0.9384919532227263
Carpet Installers,-1.1641232201718055,-0.22665535896634637,-0.8276768309655872,-0.6300184873769087,-0.7218462494482213,-0.7894593853377345,-1.036526119385336,-0.29760598581798003,-1.4535071257672898
Cartographers and Photogrammetrists,0.18472509066286577,0.4715211744652451,0.6325528750034904,0.4352578077844902,-0.6899439401292767,-0.3134582209986992,0.7325625007834302,0.06948825189125575,0.633880900097003
Cashiers,-1.5147731675437603,-0.5512360469795959,-0.011230829824092433,-1.146384593789155,-1.3002351174006797,-0.752843911157809,-1.1448376675589338,0.6419578594047268,-0.8628162543998518
Cement Masons and Concrete Finishers,-1.0970604054680178,-0.6201274296316354,-1.4393946807634443,0.12908308115887573,-1.1174614702608952,-0.35007369517862524,-1.1674025734284332,-0.749084716639281,-1.9390928598807358
Chefs and Head Cooks,0.7935036078380787,0.4715211744652451,1.5205303989036059,0.760698631153553,1.019169111117628,1.1175965615333996,-0.55702186965847,2.0750299869666335,-0.4392425512662615
Chemical Engineers,1.8094166770716067,2.0442516187625004,0.6350194792365467,1.4308463746351276,1.4194367520393152,0.36392805132992756,1.2199644675646208,-0.7789121402971441,1.3738210663651107
Chemical Equipment Operators and Tenders,-0.6858261643598863,-0.29313457836026097,-0.011230829824092433,2.4226164358249003,0.3746361218438915,1.0779297978384803,0.40988434684958647,0.6419578594047268,-0.07570490253215187
Chemical Plant and System Operators,0.18345975453637947,0.03853786963187496,0.46699439888078076,2.0277482368037707,0.24503299023568087,2.9956652580120933,1.0574971453042241,0.8450012669957117,-0.3572605442081471
Chemical Technicians,0.4124855934304464,0.6486704441419178,0.9877438845635367,0.760698631153553,0.4942697817899326,0.35440802804314736,1.2199644675646208,-0.10101614807296883,0.633880900097003
"Chemistry Teachers, Postsecondary",1.3032822264769834,1.0142579075432858,1.6981259036836285,-1.0292258973762922,0.3746361218438915,0.35440802804314736,-0.55702186965847,0.44807960562861276,1.3738210663651107
Chemists,1.687944408928897,2.027366475955629,0.9877438845635367,0.5914694030016401,0.7562940823295278,-0.0937653759191448,0.5635964856326175,-0.10372773204186596,1.2729201346012777
Chief Executives,1.7005977701937627,1.2403982129924693,1.5134265787124048,0.4352578077844902,1.695923432803498,0.12592746916040956,1.3824317898250176,0.8450012669957117,1.5293766695010196
Chief Sustainability Officers,1.4121011333548272,0.2906089301058982,0.3094277204731711,-1.4002284360170236,0.7562940823295278,0.12592746916040956,-0.027604048148271273,-0.2715205480371939,0.7431902428411552
"Child, Family, and School Social Workers",0.5578474076412219,-0.4823446643275565,0.46699439888078076,-0.4914240887314701,1.455326850023127,-0.0937653759191448,0.40988434684958647,0.6419578594047268,0.7378088598137507
Childcare Workers,-0.8832186000917897,-0.7924523727920584,0.46699439888078076,-0.7642736750440927,-0.24065308388747914,0.12592746916040956,0.40988434684958647,1.0324259509258522,-0.7841135276240618
Chiropractors,1.1818099583342736,-0.04106351788623769,0.8113816819000417,0.12908308115887573,1.5576800924214065,-0.3134582209986992,1.2134657746742048,0.25420135185249865,0.7431902428411552
Choreographers,0.06436631831146433,-0.8551686175032986,1.342934894123583,-0.4914240887314701,0.11542985862747027,0.12592746916040956,-0.8134043301477238,0.8450012669957117,-0.25833558902468945
Civil Engineering Technologists and Technicians,0.6756755077396502,1.8102717827244117,-0.14442745840910992,0.12908308115887573,0.3746361218438915,-0.0937653759191448,1.0574971453042241,0.06948825189125575,0.43207903656933705
Civil Engineers,1.687944408928897,2.746191126876766,0.803044559592313,2.4204468303357736,1.5576800924214065,0.12592746916040956,1.8633350637157922,0.25420135185249865,1.3738210663651107
"Claims Adjusters, Examiners, and Investigators",1.1818099583342736,0.5583590517577315,0.46699439888078076,-0.05941224373648508,0.240540081673263,-0.7894593853377345,1.5584380556071142,-0.2715205480371939,1.2023735664763981
Cleaners of Vehicles and Equipment,-1.429843806733983,-1.3555477637686708,-1.8143185241879372,-1.7614677499566835,-1.499624550644081,-2.839925939413579,-1.713473295470323,-1.2158025493657807,-1.9895433257626522
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",-1.5956028393037218,-1.033668698604521,-1.1927342574578568,0.5914694030016401,-1.579380323941442,-0.752843911157809,-0.9282145712117378,-0.749084716639281,-1.6479516296871763
Clergy,0.79714777588236,-1.0155774741685861,2.2830070994258382,-0.888201540583032,1.1642182774877612,0.8494492389557436,0.7325625007834302,0.8450012669957117,0.5329799683331701
