user_id,Deductive Reasoning,Mathematical Reasoning,Memorization,Perceptual Speed,Problem Sensitivity,Selective Attention,Speed of Closure,Time Sharing,Written Comprehension
1429451,-0.25672940472171607,,-0.48896520418783007,,,0.3153005452661959,-0.19613088438402726,0.2513796155281952,
1430783,1.2302793644503953,,0.0610974606978091,,,0.3153005452661959,1.0376871588394945,0.03157323775255009,
1432957,0.48677497986433954,,-0.48896520418783007,,,0.17091700155255765,0.2973963329053814,0.03157323775255009,
1441634,,0.7238802463637182,0.7734610712186365,1.2187077108472029,-0.07270278353252503,0.11143504569768607,,1.5683890152521107,-0.18129369477391288
1506919,-1.3719859816007995,,-0.7639965366306496,,,0.17091700155255765,-0.4428944930287316,0.47118599330384026,
1532766,1.2302793644503953,,-1.0390278690734691,,,0.026533457838919427,0.05063272426067709,0.2513796155281952,
1539579,1.2302793644503953,,0.33612879314062866,,,0.026533457838919427,0.2973963329053814,1.1306051266307755,
1543487,-0.25672940472171607,,-0.48896520418783007,,,0.026533457838919427,1.0376871588394945,-0.4080395177987401,
1543572,,-1.1896593300615799,0.1705707280080925,-2.7945715270915636,1.0689601594595743,0.03384086753612171,,-1.2327244503056307,-0.9770391738486718
1553778,-1.0002337893077717,,1.436254122911907,,,-0.5510007170156335,-0.19613088438402726,-0.8476522733500303,
1564227,0.11502278757131174,,1.436254122911907,,,0.3153005452661959,1.2844507674841987,-0.8476522733500303,
1576446,,0.7238802463637182,-0.05237031276955212,0.01472393946557296,-0.8011845429145202,0.4218117583439435,,0.6346845267328636,-0.7117906808237521
1622150,1.0444032683038813,,0.0610974606978091,,,0.026533457838919427,-1.6767125362522532,0.9107987488551305,
1702668,-1.5578620777473136,,-0.7639965366306496,,,0.3153005452661959,-1.1831853189628445,-0.6278458955743852,
1728810,-0.8143576931612578,,-0.48896520418783007,,,0.3153005452661959,-0.6896581016734359,0.03157323775255009,
1780185,,-0.7644283130781803,-0.27875823282150725,-0.8882638890706495,0.3567864985290687,0.8873768273133297,,0.6346845267328636,0.08395479825100673
1785541,-0.44260550086823003,,-0.48896520418783007,,,0.3153005452661959,0.7909235501947901,-1.2872650289013206,
1825402,0.11502278757131174,,-0.21393387174501047,,,0.3153005452661959,0.2973963329053814,-0.18823314002309502,
